Date,Price
1/1/2020,"$7,179.96 "
1/2/2020,"$7,174.74 "
1/3/2020,"$6,955.49 "
1/4/2020,"$7,291.22 "
1/5/2020,"$7,337.64 "
1/6/2020,"$7,347.43 "
1/7/2020,"$7,713.86 "
1/8/2020,"$8,039.60 "
1/9/2020,"$8,067.61 "
1/10/2020,"$7,808.70 "
1/11/2020,"$8,087.45 "
1/12/2020,"$8,078.99 "
1/13/2020,"$8,149.31 "
1/14/2020,"$8,116.96 "
1/15/2020,"$8,735.14 "
1/16/2020,"$8,843.68 "
1/17/2020,"$8,711.64 "
1/18/2020,"$8,925.30 "
1/19/2020,"$8,939.86 "
1/20/2020,"$8,638.18 "
1/21/2020,"$8,652.68 "
1/22/2020,"$8,708.79 "
1/23/2020,"$8,635.07 "
1/24/2020,"$8,384.09 "
1/25/2020,"$8,451.23 "
1/26/2020,"$8,347.57 "
1/27/2020,"$8,562.31 "
1/28/2020,"$8,881.96 "
1/29/2020,"$9,131.11 "
1/30/2020,"$9,320.98 "
1/31/2020,"$9,545.08 "
2/1/2020,"$9,388.88 "
2/2/2020,"$9,363.19 "
2/3/2020,"$9,385.26 "
2/4/2020,"$9,269.71 "
2/5/2020,"$9,177.89 "
2/6/2020,"$9,625.46 "
2/7/2020,"$9,681.38 "
2/8/2020,"$9,795.34 "
2/9/2020,"$9,927.78 "
2/10/2020,"$10,132.71 "
2/11/2020,"$9,838.90 "
2/12/2020,"$10,236.64 "
2/13/2020,"$10,364.93 "
2/14/2020,"$10,218.10 "
2/15/2020,"$10,367.53 "
2/16/2020,"$9,926.35 "
2/17/2020,"$9,876.23 "
2/18/2020,"$9,636.62 "
2/19/2020,"$10,190.00 "
2/20/2020,"$9,701.04 "
2/21/2020,"$9,631.48 "
2/22/2020,"$9,670.86 "
2/23/2020,"$9,689.09 "
2/24/2020,"$9,919.55 "
2/25/2020,"$9,640.47 "
2/26/2020,"$9,392.87 "
2/27/2020,"$8,787.98 "
2/28/2020,"$8,785.00 "
2/29/2020,"$8,778.47 "
3/1/2020,"$8,639.59 "
3/2/2020,"$8,548.95 "
3/3/2020,"$8,923.04 "
3/4/2020,"$8,791.11 "
3/5/2020,"$8,756.96 "
3/6/2020,"$9,078.58 "
3/7/2020,"$9,126.64 "
3/8/2020,"$8,925.21 "
3/9/2020,"$8,166.31 "
3/10/2020,"$7,875.75 "
3/11/2020,"$7,959.23 "
3/12/2020,"$7,955.31 "
3/13/2020,"$5,800.21 "
3/14/2020,"$5,672.68 "
3/15/2020,"$5,304.15 "
3/16/2020,"$5,355.19 "
3/17/2020,"$4,944.70 "
3/18/2020,"$5,465.58 "
3/19/2020,"$5,363.82 "
3/20/2020,"$6,301.06 "
3/21/2020,"$6,185.28 "
3/22/2020,"$6,187.05 "
3/23/2020,"$5,884.34 "
3/24/2020,"$6,455.45 "
3/25/2020,"$6,784.32 "
3/26/2020,"$6,706.99 "
3/27/2020,"$6,721.50 "
3/28/2020,"$6,682.78 "
3/29/2020,"$6,229.49 "
3/30/2020,"$5,922.49 "
3/31/2020,"$6,483.74 "
4/1/2020,"$6,446.42 "
4/2/2020,"$6,537.34 "
4/3/2020,"$6,850.56 "
4/4/2020,"$6,776.37 "
4/5/2020,"$6,855.93 "
4/6/2020,"$6,805.36 "
4/7/2020,"$7,278.24 "
4/8/2020,"$7,175.67 "
4/9/2020,"$7,367.29 "
4/10/2020,"$7,321.82 "
4/11/2020,"$6,866.40 "
4/12/2020,"$6,873.85 "
4/13/2020,"$7,043.44 "
4/14/2020,"$6,889.86 "
4/15/2020,"$6,887.55 "
4/16/2020,"$6,718.80 "
4/17/2020,"$7,166.58 "
4/18/2020,"$7,065.08 "
4/19/2020,"$7,277.14 "
4/20/2020,"$7,185.87 "
4/21/2020,"$6,856.15 "
4/22/2020,"$6,904.48 "
4/23/2020,"$7,118.39 "
4/24/2020,"$7,562.03 "
4/25/2020,"$7,497.86 "
4/26/2020,"$7,542.30 "
4/27/2020,"$7,624.85 "
4/28/2020,"$7,776.51 "
4/29/2020,"$7,761.76 "
4/30/2020,"$8,773.11 "
5/1/2020,"$8,767.67 "
5/2/2020,"$8,853.77 "
5/3/2020,"$8,963.06 "
5/4/2020,"$8,904.71 "
5/5/2020,"$8,887.51 "
5/6/2020,"$8,978.28 "
5/7/2020,"$9,371.68 "
5/8/2020,"$9,900.68 "
5/9/2020,"$9,917.25 "
5/10/2020,"$9,617.52 "
5/11/2020,"$8,786.66 "
5/12/2020,"$8,608.13 "
5/13/2020,"$8,815.23 "
5/14/2020,"$9,330.99 "
5/15/2020,"$9,757.30 "
5/16/2020,"$9,362.64 "
5/17/2020,"$9,418.92 "
5/18/2020,"$9,684.70 "
5/19/2020,"$9,723.68 "
5/20/2020,"$9,719.48 "
5/21/2020,"$9,540.89 "
5/22/2020,"$9,141.15 "
5/23/2020,"$9,192.85 "
5/24/2020,"$9,220.08 "
5/25/2020,"$9,048.72 "
5/26/2020,"$8,905.78 "
5/27/2020,"$8,835.73 "
5/28/2020,"$9,112.98 "
5/29/2020,"$9,507.52 "
5/30/2020,"$9,425.28 "
5/31/2020,"$9,688.32 "
6/1/2020,"$9,427.67 "
6/2/2020,"$10,268.58 "
6/3/2020,"$9,516.14 "
6/4/2020,"$9,667.06 "
6/5/2020,"$9,811.37 "
6/6/2020,"$9,659.66 "
6/7/2020,"$9,677.05 "
6/8/2020,"$9,737.46 "
6/9/2020,"$9,791.93 "
6/10/2020,"$9,786.14 "
6/11/2020,"$9,874.97 "
6/12/2020,"$9,260.83 "
6/13/2020,"$9,464.23 "
6/14/2020,"$9,458.66 "
6/15/2020,"$9,351.95 "
6/16/2020,"$9,441.77 "
6/17/2020,"$9,510.66 "
6/18/2020,"$9,457.63 "
6/19/2020,"$9,398.64 "
6/20/2020,"$9,279.76 "
6/21/2020,"$9,353.08 "
6/22/2020,"$9,289.10 "
6/23/2020,"$9,680.95 "
6/24/2020,"$9,609.68 "
6/25/2020,"$9,311.14 "
6/26/2020,"$9,252.63 "
6/27/2020,"$9,171.73 "
6/28/2020,"$9,022.15 "
6/29/2020,"$9,101.85 "
6/30/2020,"$9,188.06 "
7/1/2020,"$9,148.44 "
7/2/2020,"$9,236.32 "
7/3/2020,"$9,097.80 "
7/4/2020,"$9,094.32 "
7/5/2020,"$9,124.65 "
7/6/2020,"$9,055.46 "
7/7/2020,"$9,278.81 "
7/8/2020,"$9,244.42 "
7/9/2020,"$9,471.76 "
7/10/2020,"$9,236.14 "
7/11/2020,"$9,243.18 "
7/12/2020,"$9,229.86 "
7/13/2020,"$9,286.74 "
7/14/2020,"$9,238.99 "
7/15/2020,"$9,260.47 "
7/16/2020,"$9,211.03 "
7/17/2020,"$9,133.78 "
7/18/2020,"$9,160.41 "
7/19/2020,"$9,176.69 "
7/20/2020,"$9,190.27 "
7/21/2020,"$9,172.59 "
7/22/2020,"$9,395.06 "
7/23/2020,"$9,530.79 "
7/24/2020,"$9,617.38 "
7/25/2020,"$9,568.97 "
7/26/2020,"$9,708.95 "
7/27/2020,"$9,938.95 "
7/28/2020,"$11,187.78 "
7/29/2020,"$10,939.67 "
7/30/2020,"$11,284.46 "
7/31/2020,"$11,118.92 "
8/1/2020,"$11,373.32 "
8/2/2020,"$11,766.75 "
8/3/2020,"$11,139.10 "
8/4/2020,"$11,261.81 "
8/5/2020,"$11,228.03 "
8/6/2020,"$11,653.41 "
8/7/2020,"$11,796.82 "
8/8/2020,"$11,639.94 "
8/9/2020,"$11,744.91 "
8/10/2020,"$11,673.12 "
8/11/2020,"$11,832.23 "
8/12/2020,"$11,340.58 "
8/13/2020,"$11,549.55 "
8/14/2020,"$11,752.17 "
8/15/2020,"$11,783.28 "
8/16/2020,"$11,895.63 "
8/17/2020,"$11,896.95 "
8/18/2020,"$12,399.11 "
8/19/2020,"$12,071.74 "
8/20/2020,"$11,749.83 "
8/21/2020,"$11,833.90 "
8/22/2020,"$11,583.14 "
8/23/2020,"$11,674.62 "
8/24/2020,"$11,666.41 "
8/25/2020,"$11,744.01 "
8/26/2020,"$11,378.73 "
8/27/2020,"$11,458.82 "
8/28/2020,"$11,302.12 "
8/29/2020,"$11,482.23 "
8/30/2020,"$11,515.04 "
8/31/2020,"$11,657.00 "
9/1/2020,"$11,678.37 "
9/2/2020,"$11,964.21 "
9/3/2020,"$11,427.70 "
9/4/2020,"$10,712.92 "
9/5/2020,"$10,563.90 "
9/6/2020,"$10,042.85 "
9/7/2020,"$10,207.61 "
9/8/2020,"$10,381.78 "
9/9/2020,"$10,043.20 "
9/10/2020,"$10,268.46 "
9/11/2020,"$10,341.02 "
9/12/2020,"$10,380.54 "
9/13/2020,"$10,436.37 "
9/14/2020,"$10,313.07 "
9/15/2020,"$10,680.30 "
9/16/2020,"$10,829.51 "
9/17/2020,"$11,033.38 "
9/18/2020,"$10,937.11 "
9/19/2020,"$10,933.93 "
9/20/2020,"$11,048.88 "
9/21/2020,"$10,852.91 "
9/22/2020,"$10,526.20 "
9/23/2020,"$10,531.16 "
9/24/2020,"$10,260.03 "
9/25/2020,"$10,672.96 "
9/26/2020,"$10,729.07 "
9/27/2020,"$10,741.48 "
9/28/2020,"$10,752.35 "
9/29/2020,"$10,863.07 "
9/30/2020,"$10,764.28 "
10/1/2020,"$10,741.58 "
10/2/2020,"$10,626.60 "
10/3/2020,"$10,567.33 "
10/4/2020,"$10,555.03 "
10/5/2020,"$10,660.61 "
10/6/2020,"$10,756.40 "
10/7/2020,"$10,589.63 "
10/8/2020,"$10,645.75 "
10/9/2020,"$10,897.60 "
10/10/2020,"$11,052.40 "
10/11/2020,"$11,360.85 "
10/12/2020,"$11,334.03 "
10/13/2020,"$11,666.21 "
10/14/2020,"$11,443.73 "
10/15/2020,"$11,395.55 "
10/16/2020,"$11,504.55 "
10/17/2020,"$11,355.16 "
10/18/2020,"$11,358.71 "
10/19/2020,"$11,471.00 "
10/20/2020,"$11,776.59 "
10/21/2020,"$11,936.36 "
10/22/2020,"$13,102.93 "
10/23/2020,"$13,140.67 "
10/24/2020,"$12,933.82 "
10/25/2020,"$13,081.67 "
10/26/2020,"$13,008.45 "
