Date,Price
6/3/2020,$0.19
6/4/2020,$0.20
6/5/2020,$0.20
6/6/2020,$0.20
6/7/2020,$0.20
6/8/2020,$0.19
6/9/2020,$0.19
6/10/2020,$0.20
6/11/2020,$0.19
6/12/2020,$0.19
6/13/2020,$0.19
6/14/2020,$0.19
6/15/2020,$0.19
6/16/2020,$0.19
6/17/2020,$0.19
6/18/2020,$0.19
6/19/2020,$0.19
6/20/2020,$0.19
6/21/2020,$0.19
6/22/2020,$0.19
6/23/2020,$0.19
6/24/2020,$0.18
6/25/2020,$0.18
6/26/2020,$0.18
6/27/2020,$0.17
6/28/2020,$0.18
6/29/2020,$0.17
6/30/2020,$0.18
7/1/2020,$0.18
7/2/2020,$0.18
7/3/2020,$0.17
7/4/2020,$0.17
7/5/2020,$0.17
7/6/2020,$0.20
7/7/2020,$0.23
7/8/2020,$0.36
7/9/2020,$0.33
7/10/2020,$0.26
7/11/2020,$0.29
7/12/2020,$0.27
7/13/2020,$0.24
7/14/2020,$0.25
7/15/2020,$0.23
7/16/2020,$0.23
7/17/2020,$0.23
7/18/2020,$0.26
7/19/2020,$0.25
7/20/2020,$0.24
7/21/2020,$0.25
7/22/2020,$0.25
7/23/2020,$0.25
7/24/2020,$0.24
7/25/2020,$0.24
7/26/2020,$0.24
7/27/2020,$0.24
7/28/2020,$0.24
7/29/2020,$0.24
7/30/2020,$0.24
7/31/2020,$0.24
8/1/2020,$0.28
8/2/2020,$0.25
8/3/2020,$0.25
8/4/2020,$0.27
8/5/2020,$0.26
8/6/2020,$0.27
8/7/2020,$0.27
8/8/2020,$0.26
8/9/2020,$0.26
8/10/2020,$0.26
8/11/2020,$0.25
8/12/2020,$0.26
8/13/2020,$0.26
8/14/2020,$0.27
8/15/2020,$0.26
8/16/2020,$0.26
8/17/2020,$0.27
8/18/2020,$0.26
8/19/2020,$0.26
8/20/2020,$0.26
8/21/2020,$0.25
8/22/2020,$0.26
8/23/2020,$0.26
8/24/2020,$0.25
8/25/2020,$0.25
8/26/2020,$0.25
8/27/2020,$0.24
8/28/2020,$0.24
8/29/2020,$0.24
8/30/2020,$0.24
8/31/2020,$0.24
9/1/2020,$0.24
9/2/2020,$0.23
9/3/2020,$0.21
9/4/2020,$0.21
9/5/2020,$0.20
9/6/2020,$0.20
9/7/2020,$0.21
9/8/2020,$0.20
9/9/2020,$0.20
9/10/2020,$0.21
9/11/2020,$0.21
9/12/2020,$0.21
9/13/2020,$0.20
9/14/2020,$0.21
9/15/2020,$0.21
9/16/2020,$0.21
9/17/2020,$0.21
9/18/2020,$0.21
9/19/2020,$0.21
9/20/2020,$0.20
9/21/2020,$0.19
9/22/2020,$0.20
9/23/2020,$0.19
9/24/2020,$0.20
9/25/2020,$0.20
9/26/2020,$0.20
9/27/2020,$0.20
9/28/2020,$0.20
9/29/2020,$0.20
9/30/2020,$0.19
10/1/2020,$0.19
10/2/2020,$0.19
10/3/2020,$0.19
10/4/2020,$0.19
10/5/2020,$0.19
10/6/2020,$0.19
10/7/2020,$0.19
10/8/2020,$0.19
10/9/2020,null
10/10/2020,$0.19
10/11/2020,$0.20
10/12/2020,null
10/13/2020,null
10/14/2020,$0.19
10/15/2020,$0.19
10/16/2020,$0.19
10/17/2020,$0.19
10/18/2020,$0.19
10/19/2020,$0.19
10/20/2020,$0.19
10/21/2020,$0.19
10/22/2020,$0.20
10/23/2020,$0.20
10/24/2020,$0.20
10/25/2020,$0.20
10/26/2020,$0.20
10/27/2020,$0.20
10/28/2020,$0.19
10/29/2020,$0.19
10/30/2020,$0.19
10/31/2020,$0.19
11/1/2020,$0.19
11/2/2020,$0.19
11/3/2020,$0.19
11/4/2020,$0.19
11/5/2020,$0.19
11/6/2020,$0.20
11/7/2020,$0.20
11/8/2020,$0.20
11/9/2020,$0.20
11/10/2020,$0.20
11/11/2020,$0.21
11/12/2020,$0.21
11/13/2020,$0.21
11/14/2020,$0.21
11/15/2020,$0.21
11/16/2020,$0.21
11/17/2020,$0.22
11/18/2020,$0.22
11/19/2020,$0.22
11/20/2020,$0.22
11/21/2020,$0.26
11/22/2020,$0.25
11/23/2020,$0.27
11/24/2020,$0.31
11/25/2020,$0.27
11/26/2020,$0.24
11/27/2020,$0.24
11/28/2020,$0.25
11/29/2020,$0.25
11/30/2020,$0.26
12/1/2020,$0.25
12/2/2020,$0.25
12/3/2020,$0.25
12/4/2020,$0.24
12/5/2020,$0.25
12/6/2020,$0.25
12/7/2020,$0.25
12/8/2020,$0.23
12/9/2020,$0.23
12/10/2020,$0.23
12/11/2020,$0.23
12/12/2020,$0.23
12/13/2020,$0.24
12/14/2020,$0.24
12/15/2020,$0.24
12/16/2020,$0.25
12/17/2020,$0.27
12/18/2020,$0.28
12/19/2020,$0.29
12/20/2020,$0.34
12/21/2020,$0.35
12/22/2020,$0.33
12/23/2020,$0.28
12/24/2020,$0.34
12/25/2020,$0.34
12/26/2020,$0.33
12/27/2020,$0.34
12/28/2020,$0.34
12/29/2020,$0.33
12/30/2020,$0.34
12/31/2020,$0.34
1/1/2021,$0.42
1/2/2021,$0.78
1/3/2021,$0.71
1/4/2021,$0.71
1/5/2021,$0.73
1/6/2021,$0.77
1/7/2021,$0.72
1/8/2021,$0.72
1/9/2021,$0.75
1/10/2021,$0.72
1/11/2021,$0.65
1/12/2021,$0.59
1/13/2021,$0.63
1/14/2021,$0.69
1/15/2021,$0.69
1/16/2021,$0.68
1/17/2021,$0.66
1/18/2021,$0.67
1/19/2021,$0.67
1/20/2021,$0.66
1/21/2021,$0.60
1/22/2021,$0.62
1/23/2021,$0.63
1/24/2021,$0.64
1/25/2021,$0.61
1/26/2021,$0.60
1/27/2021,$0.55
1/28/2021,$0.92
1/29/2021,$3.44
1/30/2021,$2.05
1/31/2021,$2.71
2/1/2021,$2.55
2/2/2021,$2.30
2/3/2021,$2.70
2/4/2021,$3.89
2/5/2021,$3.42
2/6/2021,$4.19
2/7/2021,$5.73
2/8/2021,$5.75
2/9/2021,$5.10
2/10/2021,$5.31
2/11/2021,$5.07
2/12/2021,$5.09
2/13/2021,$4.82
2/14/2021,$4.54
2/15/2021,$4.11
2/16/2021,$3.90
2/17/2021,$3.59
2/18/2021,$4.32
2/19/2021,$4.00
2/20/2021,$3.95
2/21/2021,$4.06
2/22/2021,$3.89
2/23/2021,$3.43
2/24/2021,$4.09
2/25/2021,$3.67
2/26/2021,$3.72
2/27/2021,$3.69
2/28/2021,$3.54
3/1/2021,$3.71
3/2/2021,$3.68
3/3/2021,$3.69
3/4/2021,$3.66
3/5/2021,$3.63
3/6/2021,$3.73
3/7/2021,$3.81
3/8/2021,$4.54
3/9/2021,$4.22
3/10/2021,$4.07
3/11/2021,$4.06
3/12/2021,$4.02
3/13/2021,$4.54
3/14/2021,$4.26
3/15/2021,$4.14
3/16/2021,$4.25
3/17/2021,$4.18
3/18/2021,$4.17
3/19/2021,$4.23
3/20/2021,$4.27
3/21/2021,$4.14
3/22/2021,$3.98
3/23/2021,$3.89
3/24/2021,$3.76
3/25/2021,$3.74
3/26/2021,$3.91
3/27/2021,$3.94
3/28/2021,$3.89
3/29/2021,$3.93
3/30/2021,$3.96
3/31/2021,$3.93
4/1/2021,$4.54
4/2/2021,$4.23
4/3/2021,$4.09
4/4/2021,$4.21
4/5/2021,$4.37
4/6/2021,$4.74
4/7/2021,$4.39
4/8/2021,$4.58
4/9/2021,$4.61
4/10/2021,$4.77
4/11/2021,$5.58
4/12/2021,$5.31
4/13/2021,$7.03
4/14/2021,$9.12
4/15/2021,$13.62
4/16/2021,$27.28
4/17/2021,$21.19
4/18/2021,$23.90
4/19/2021,$30.50
4/20/2021,$24.11
4/21/2021,$23.15
4/22/2021,$19.60
4/23/2021,$18.61
4/24/2021,$20.23
4/25/2021,$18.80
4/26/2021,$20.25
4/27/2021,$20.30
4/28/2021,$24.05
4/29/2021,$22.61
4/30/2021,$25.01
5/1/2021,$29.12
5/2/2021,$27.86
5/3/2021,$32.61
5/4/2021,$39.94
5/5/2021,$48.53
5/6/2021,$42.76
5/7/2021,$50.19
5/8/2021,$46.65
5/9/2021,$41.78
5/10/2021,$33.07
5/11/2021,$36.34
5/12/2021,$28.40
5/13/2021,$36.02
5/14/2021,$41.01
5/15/2021,$37.22
5/16/2021,$37.73
5/17/2021,$35.75
5/18/2021,$34.82
5/19/2021,$24.39
5/20/2021,$29.22
5/21/2021,$26.20
5/22/2021,$24.96
5/23/2021,$22.46
5/24/2021,$26.67
5/25/2021,$25.21
5/26/2021,$25.70
5/27/2021,$24.20
5/28/2021,$22.53
5/29/2021,$21.94
5/30/2021,$21.88
5/31/2021,$23.62
6/1/2021,$26.96
6/2/2021,$30.89
6/3/2021,$30.97
