Date,Price
1/2/2020,5.9638
1/3/2020,5.8683
1/6/2020,5.893
1/7/2020,5.9643
1/8/2020,5.9755
1/9/2020,6.0411
1/10/2020,6.0734
1/13/2020,6.2638
1/14/2020,6.147
1/15/2020,6.1045
1/16/2020,6.188
1/17/2020,6.1967
1/21/2020,6.1634
1/22/2020,6.2159
1/23/2020,6.2857
1/24/2020,6.2266
1/27/2020,5.971
1/28/2020,6.1642
1/29/2020,6.1038
1/30/2020,6.1105
1/31/2020,5.8773
2/3/2020,5.9742
2/4/2020,6.1433
2/5/2020,6.2335
2/6/2020,6.3202
2/7/2020,6.2542
2/10/2020,6.537
2/11/2020,6.6593
2/12/2020,6.7749
2/13/2020,6.7312
2/14/2020,7.2037
2/18/2020,7.3723
2/19/2020,7.823
2/20/2020,7.6738
2/21/2020,7.3101
2/24/2020,6.7933
2/25/2020,6.5142
2/26/2020,6.6534
2/27/2020,6.283
2/28/2020,6.7176
3/2/2020,6.8757
3/3/2020,6.6136
3/4/2020,7.0767
3/5/2020,6.7976
3/6/2020,6.6173
3/9/2020,6.1049
3/10/2020,6.4939
3/11/2020,6.1305
3/12/2020,5.3804
3/13/2020,5.9905
3/16/2020,4.8851
3/17/2020,5.4042
3/18/2020,5.0448
3/19/2020,5.2973
3/20/2020,5.1177
3/23/2020,5.2903
3/24/2020,6.1979
3/25/2020,6.1094
3/26/2020,6.3984
3/27/2020,6.2862
3/30/2020,6.6061
3/31/2020,6.5566
4/1/2020,6.046
4/2/2020,6.3544
4/3/2020,6.0669
4/6/2020,6.676
4/7/2020,6.443
4/8/2020,6.6399
4/9/2020,6.5405
4/13/2020,6.7121
4/14/2020,7.0628
4/15/2020,6.9854
4/16/2020,7.3302
4/17/2020,7.271
4/20/2020,7.1399
4/21/2020,6.7036
4/22/2020,7.1175
4/23/2020,7.0643
4/24/2020,7.2031
4/27/2020,7.3894
4/28/2020,7.2471
4/29/2020,7.4237
4/30/2020,7.27
5/1/2020,7.0337
5/4/2020,7.2452
5/5/2020,7.3063
5/6/2020,7.407
5/7/2020,7.5831
5/8/2020,7.7729
5/11/2020,8.0246
5/12/2020,7.763
5/13/2020,7.7406
5/14/2020,7.9898
5/15/2020,8.4477
5/18/2020,8.7059
5/19/2020,8.7609
5/20/2020,8.9246
5/21/2020,8.7308
5/22/2020,8.9805
5/26/2020,8.6736
5/27/2020,8.4821
5/28/2020,8.444
5/29/2020,8.8305
6/1/2020,8.7616
6/2/2020,8.7805
6/3/2020,8.7251
6/4/2020,8.7261
6/5/2020,8.8789
6/8/2020,8.7644
6/9/2020,9.0043
6/10/2020,9.3236
6/11/2020,8.7557
6/12/2020,8.8913
6/15/2020,9.1314
6/16/2020,9.0267
6/17/2020,9.1934
6/18/2020,9.1755
6/19/2020,9.2185
6/22/2020,9.4828
6/23/2020,9.4064
6/24/2020,9.1929
6/25/2020,9.4462
6/26/2020,9.1128
6/29/2020,9.1576
6/30/2020,9.454
7/1/2020,9.4861
7/2/2020,9.5679
7/6/2020,9.7939
7/7/2020,9.8262
7/8/2020,10.1689
7/9/2020,10.4605
7/10/2020,10.4309
7/13/2020,10.0059
7/14/2020,10.3292
7/15/2020,10.1801
7/16/2020,10.088
7/17/2020,10.1545
7/20/2020,10.4623
7/21/2020,10.2809
7/22/2020,10.3906
7/23/2020,10.083
7/24/2020,10.1475
7/27/2020,10.3734
7/28/2020,10.1684
7/29/2020,10.4172
7/30/2020,10.5651
7/31/2020,10.5658
8/3/2020,10.9595
8/4/2020,11.176
8/5/2020,11.2347
8/6/2020,11.2832
8/7/2020,11.1479
8/10/2020,11.1135
8/11/2020,10.8
8/12/2020,11.3875
8/13/2020,11.3902
8/14/2020,11.5107
8/17/2020,12.2801
8/18/2020,12.2042
8/19/2020,12.0825
8/20/2020,12.085
8/21/2020,12.625
8/24/2020,12.6616
8/25/2020,12.6912
8/26/2020,12.7141
8/27/2020,12.57
8/28/2020,13.0871
8/31/2020,13.3128
9/1/2020,13.7614
9/2/2020,14.2846
9/3/2020,12.9594
9/4/2020,12.5681
9/8/2020,11.8616
9/9/2020,12.6602
9/10/2020,12.2586
9/11/2020,12.112
9/14/2020,12.8167
9/15/2020,12.935
9/16/2020,12.4605
9/17/2020,12.4097
9/18/2020,12.1367
9/21/2020,12.4633
9/22/2020,12.5832
9/23/2020,12.0715
9/24/2020,12.2947
9/25/2020,12.8182
9/28/2020,12.9788
9/29/2020,13.1687
9/30/2020,13.4721
10/1/2020,13.5558
10/2/2020,13.0059
10/5/2020,13.5837
10/6/2020,13.6773
10/7/2020,13.9038
10/8/2020,13.7791
10/9/2020,13.7034
10/12/2020,14.1646
10/13/2020,14.1868
10/14/2020,14.0345
10/15/2020,13.9097
10/16/2020,13.7519
10/19/2020,13.4395
10/20/2020,13.5866
10/21/2020,13.4664
10/22/2020,13.3034
10/23/2020,13.5316
10/26/2020,13.0846
10/27/2020,13.339
10/28/2020,12.5725
10/29/2020,12.9678
10/30/2020,12.4799
11/2/2020,12.5265
11/3/2020,12.9633
11/4/2020,13.7348
11/5/2020,14.0989
11/6/2020,14.4992
11/9/2020,13.572
11/10/2020,12.7149
11/11/2020,13.3601
11/12/2020,13.3987
11/13/2020,13.2396
11/16/2020,13.457
11/17/2020,13.3644
11/18/2020,13.3708
11/19/2020,13.3823
11/20/2020,13.0313
11/23/2020,13.0833
11/24/2020,12.9019
11/25/2020,13.1777
11/27/2020,13.2041
11/30/2020,13.3437
12/1/2020,13.3322
12/2/2020,13.4861
12/3/2020,13.3422
12/4/2020,13.5038
12/7/2020,13.5521
12/8/2020,13.2963
12/9/2020,12.8788
12/10/2020,12.9201
12/11/2020,12.9609
12/14/2020,13.2553
12/15/2020,13.3068
12/16/2020,13.1893
12/17/2020,13.2876
12/18/2020,13.2187
12/21/2020,13.2787
12/22/2020,13.2249
12/23/2020,12.957
12/24/2020,12.9415
12/28/2020,12.8482
12/29/2020,12.8912
12/30/2020,13.0929
12/31/2020,13.0025
1/4/2021,13.0608
1/5/2021,13.3509
1/6/2021,12.5638
1/7/2021,13.2904
1/8/2021,13.2234
1/11/2021,13.5668
1/12/2021,13.4306
1/13/2021,13.4774
1/14/2021,13.1472
1/15/2021,12.8078
1/19/2021,12.9729
1/20/2021,13.312
1/21/2021,13.8118
1/22/2021,13.6574
1/25/2021,13.5984
1/26/2021,13.3813
1/27/2021,12.8658
1/28/2021,12.9985
1/29/2021,12.9375
2/1/2021,13.1838
2/2/2021,13.5023
2/3/2021,13.4761
2/4/2021,13.6093
2/5/2021,13.5364
2/8/2021,14.3807
2/9/2021,14.2059
2/10/2021,14.7049
2/11/2021,15.1895
2/12/2021,14.9011
2/16/2021,15.2686
2/17/2021,14.8461
2/18/2021,14.7694
2/19/2021,14.8665
2/22/2021,14.2981
2/23/2021,14.0852
2/24/2021,14.4407
2/25/2021,13.254
2/26/2021,13.6594
3/1/2021,13.7861
