Date,Price
1/2/2020," $3,257.85 "
1/3/2020," $3,234.85 "
1/6/2020," $3,246.28 "
1/7/2020," $3,237.18 "
1/8/2020," $3,253.05 "
1/9/2020," $3,274.70 "
1/10/2020," $3,265.35 "
1/13/2020," $3,288.13 "
1/14/2020," $3,283.15 "
1/15/2020," $3,289.29 "
1/16/2020," $3,316.81 "
1/17/2020," $3,329.62 "
1/21/2020," $3,320.79 "
1/22/2020," $3,321.75 "
1/23/2020," $3,325.54 "
1/24/2020," $3,295.47 "
1/27/2020," $3,243.63 "
1/28/2020," $3,276.24 "
1/29/2020," $3,273.40 "
1/30/2020," $3,283.66 "
1/31/2020," $3,225.52 "
2/3/2020," $3,248.92 "
2/4/2020," $3,297.59 "
2/5/2020," $3,334.69 "
2/6/2020," $3,345.78 "
2/7/2020," $3,327.71 "
2/10/2020," $3,352.09 "
2/11/2020," $3,357.75 "
2/12/2020," $3,379.45 "
2/13/2020," $3,373.94 "
2/14/2020," $3,380.16 "
2/18/2020," $3,370.29 "
2/19/2020," $3,386.15 "
2/20/2020," $3,373.23 "
2/21/2020," $3,337.75 "
2/24/2020," $3,225.89 "
2/25/2020," $3,128.21 "
2/26/2020," $3,116.39 "
2/27/2020," $2,978.76 "
2/28/2020," $2,954.22 "
3/2/2020," $3,090.23 "
3/3/2020," $3,003.37 "
3/4/2020," $3,130.12 "
3/5/2020," $3,023.94 "
3/6/2020," $2,972.37 "
3/9/2020," $2,746.56 "
3/10/2020," $2,882.23 "
3/11/2020," $2,741.38 "
3/12/2020," $2,480.64 "
3/13/2020," $2,711.02 "
3/16/2020," $2,386.13 "
3/17/2020," $2,529.19 "
3/18/2020," $2,398.10 "
3/19/2020," $2,409.39 "
3/20/2020," $2,304.92 "
3/23/2020," $2,237.40 "
3/24/2020," $2,447.33 "
3/25/2020," $2,475.56 "
3/26/2020," $2,630.07 "
3/27/2020," $2,541.47 "
3/30/2020," $2,626.65 "
3/31/2020," $2,584.59 "
4/1/2020," $2,470.50 "
4/2/2020," $2,526.90 "
4/3/2020," $2,488.65 "
4/6/2020," $2,663.68 "
4/7/2020," $2,659.41 "
4/8/2020," $2,749.98 "
4/9/2020," $2,789.82 "
4/13/2020," $2,761.63 "
4/14/2020," $2,846.06 "
4/15/2020," $2,783.36 "
4/16/2020," $2,799.55 "
4/17/2020," $2,874.56 "
4/20/2020," $2,823.16 "
4/21/2020," $2,736.56 "
4/22/2020," $2,799.31 "
4/23/2020," $2,797.80 "
4/24/2020," $2,836.74 "
4/27/2020," $2,878.48 "
