Date,Price
1/2/2020,182.086
1/3/2020,180.638
1/6/2020,180.247
1/7/2020,179.771
1/8/2020,182.848
1/9/2020,184.115
1/10/2020,184.611
1/13/2020,186.097
1/14/2020,186.783
1/15/2020,190.355
1/16/2020,191.451
1/17/2020,195.024
1/21/2020,197.491
1/22/2020,198.073
1/23/2020,196.758
1/24/2020,195.31
1/27/2020,192.156
1/28/2020,193.261
1/29/2020,195.176
1/30/2020,198.368
1/31/2020,189.565
2/3/2020,191.318
2/4/2020,193.938
2/5/2020,193.223
2/6/2020,193.442
2/7/2020,193.156
2/10/2020,196.253
2/11/2020,194.3
2/12/2020,197.634
2/13/2020,197.882
2/14/2020,200.64
2/18/2020,201.508
2/19/2020,203.521
2/20/2020,201.747
2/21/2020,199.228
2/24/2020,189.667
2/25/2020,179.754
2/26/2020,178.619
2/27/2020,171.749
2/28/2020,173.419
3/2/2020,183.504
3/3/2020,177.207
3/4/2020,185.374
3/5/2020,178.38
3/6/2020,175.9
3/9/2020,163.277
3/10/2020,174.221
3/11/2020,165.013
3/12/2020,152.734
3/13/2020,167.761
3/16/2020,145.034
3/17/2020,150.644
3/18/2020,141.666
3/19/2020,145.263
3/20/2020,140.092
3/23/2020,129.511
3/24/2020,147.439
3/25/2020,154.356
3/26/2020,161.13
3/27/2020,154.146
3/30/2020,157.972
3/31/2020,153.726
4/1/2020,146.084
4/2/2020,150.167
4/3/2020,144.882
4/6/2020,161.664
4/7/2020,160.853
4/8/2020,166.912
4/9/2020,165.719
4/13/2020,161.235
4/14/2020,166.607
4/15/2020,158.344
4/16/2020,154.967
4/17/2020,161.76
4/20/2020,156.684
4/21/2020,153.163
4/22/2020,158.945
4/23/2020,158.745
4/24/2020,159.642
4/27/2020,163.878
4/28/2020,163.391
4/29/2020,173.448
4/30/2020,170.518
5/1/2020,167.513
5/4/2020,168.066
5/5/2020,170.251
5/6/2020,170.576
5/7/2020,174.335
5/8/2020,176.596
5/11/2020,175.136
5/12/2020,171.234
5/13/2020,169.246
5/14/2020,172.887
5/15/2020,175.363
5/18/2020,182.903
5/19/2020,180.973
5/20/2020,185.273
5/21/2020,182.177
5/22/2020,182.406
5/26/2020,184.662
5/27/2020,184.279
5/28/2020,185.656
5/29/2020,186.592
6/1/2020,185.742
6/2/2020,187.663
6/3/2020,188.15
6/4/2020,185.063
6/5/2020,190.769
6/8/2020,190.759
6/9/2020,190.262
6/10/2020,191.6
6/11/2020,180.514
6/12/2020,183.744
6/15/2020,183.266
6/16/2020,184.337
6/17/2020,184.987
6/18/2020,185.321
6/19/2020,183.687
6/22/2020,186.325
6/23/2020,189.201
