Date,Price
1/2/2020,36.1789
1/3/2020,35.9993
1/6/2020,35.7345
1/7/2020,35.6919
1/8/2020,35.3997
1/9/2020,35.3541
1/10/2020,35.6858
1/13/2020,35.424
1/14/2020,35.1471
1/15/2020,34.8914
1/16/2020,35.1562
1/17/2020,35.3235
1/21/2020,34.8792
1/22/2020,35.071
1/23/2020,35.3723
1/24/2020,35.3084
1/27/2020,34.4531
1/28/2020,35.3024
1/29/2020,35.4788
1/30/2020,35.1897
1/31/2020,35.2476
2/3/2020,34.9736
2/4/2020,35.0771
2/5/2020,35.1866
2/6/2020,35.561
2/7/2020,35.3418
2/10/2020,35.2322
2/11/2020,35.1349
2/12/2020,35.1562
2/13/2020,35.2627
2/14/2020,35.8167
2/18/2020,36.0602
2/19/2020,36.3737
2/20/2020,35.6767
2/21/2020,35.7467
2/24/2020,35.7528
2/25/2020,35.4149
2/26/2020,34.9127
2/27/2020,34.2614
2/28/2020,32.779
3/2/2020,32.7516
3/3/2020,35.3327
3/4/2020,34.7726
3/5/2020,34.8214
3/6/2020,34.6601
3/9/2020,34.6449
3/10/2020,35.9476
3/11/2020,35.768
3/12/2020,32.2707
3/13/2020,32.9463
3/16/2020,32.0211
3/17/2020,34.3253
3/18/2020,35.004
3/19/2020,38.0511
3/20/2020,36.5347
3/23/2020,34.9051
3/24/2020,35.4248
3/25/2020,34.5383
3/26/2020,33.4469
3/27/2020,33.6639
3/30/2020,34.1989
3/31/2020,34.948
4/1/2020,34.2875
4/2/2020,34.6025
4/3/2020,35.8346
4/6/2020,36.4002
4/7/2020,37.9044
4/8/2020,37.8157
4/9/2020,36.1434
4/13/2020,37.0758
4/14/2020,38.8582
4/15/2020,39.4391
4/16/2020,39.4391
4/17/2020,40.1974
4/20/2020,40.4756
4/21/2020,39.7663
4/22/2020,39.7448
4/23/2020,39.699
4/24/2020,39.5462
4/27/2020,39.7448
4/28/2020,39.219
4/29/2020,38.3905
4/30/2020,37.6293
5/1/2020,37.14
5/4/2020,37.8615
5/5/2020,37.8494
5/6/2020,38.2805
5/7/2020,37.9114
5/8/2020,37.6934
5/11/2020,37.7824
5/12/2020,38.2246
5/13/2020,37.9237
5/14/2020,38.3382
5/15/2020,37.9146
5/18/2020,39.152
5/19/2020,40.4571
5/20/2020,38.8418
5/21/2020,38.3505
5/22/2020,38.415
5/26/2020,38.1817
5/27/2020,38.068
5/28/2020,37.9912
5/29/2020,38.1509
6/1/2020,37.9053
6/2/2020,37.9514
6/3/2020,38.0465
6/4/2020,37.7087
6/5/2020,37.6382
6/8/2020,36.72
6/9/2020,37.3402
6/10/2020,37.328
6/11/2020,37.153
6/12/2020,37.0056
6/15/2020,36.3577
6/16/2020,36.7875
6/17/2020,36.8059
6/18/2020,36.4006
6/19/2020,36.5081
6/22/2020,37.1467
6/23/2020,37.6934
6/24/2020,37.0762
6/25/2020,36.7753
6/26/2020,36.7261
6/29/2020,36.3883
6/30/2020,36.6094
7/1/2020,36.6801
7/2/2020,36.8766
7/6/2020,36.7875
7/7/2020,36.3729
7/8/2020,39.3055
7/9/2020,38.5716
7/10/2020,39.5327
7/13/2020,40.3282
7/14/2020,39.6986
7/15/2020,40.6167
7/16/2020,40.5492
7/17/2020,40.9546
7/20/2020,40.5215
7/21/2020,40.3987
7/22/2020,40.7089
7/23/2020,40.8409
7/24/2020,40.2114
7/27/2020,40.1838
7/28/2020,40.3802
7/29/2020,40.3987
7/30/2020,39.7416
7/31/2020,39.8122
8/3/2020,39.892
8/4/2020,39.8123
8/5/2020,40.0578
8/6/2020,39.6525
8/7/2020,39.7906
8/10/2020,39.9934
8/11/2020,40.715
8/12/2020,40.064
8/13/2020,40.4569
8/14/2020,40.8053
8/17/2020,41.425
8/18/2020,41.9862
8/19/2020,41.3819
8/20/2020,40.4569
8/21/2020,40.2534
8/24/2020,40.7775
8/25/2020,40.3304
8/26/2020,40.1486
8/27/2020,40.4167
8/28/2020,43.4755
8/31/2020,42.3901
9/1/2020,43.5372
9/2/2020,46.636
9/3/2020,45.233
9/4/2020,44.4068
9/8/2020,43.6019
9/9/2020,43.1949
9/10/2020,43.1857
9/11/2020,42.2576
9/14/2020,41.977
9/15/2020,42.6215
9/16/2020,42.677
9/17/2020,41.758
9/18/2020,42.0695
9/21/2020,42.0879
9/22/2020,42.2637
9/23/2020,42.8588
9/24/2020,41.8506
9/25/2020,42.0941
9/28/2020,42.2914
9/29/2020,42.3192
9/30/2020,42.3624
10/1/2020,43.4138
10/2/2020,43.8887
10/5/2020,43.5649
10/6/2020,43.7437
10/7/2020,43.5557
10/8/2020,43.6328
10/9/2020,43.679
10/12/2020,44.0983
10/13/2020,44.6102
10/14/2020,45.1405
10/15/2020,44.12
10/16/2020,44.8323
10/19/2020,44.7398
10/20/2020,44.4345
10/21/2020,44.3512
10/22/2020,44.4591
10/23/2020,44.3913
10/26/2020,44.0428
10/27/2020,43.7993
10/28/2020,43.4632
10/29/2020,43.1672
10/30/2020,42.9143
11/2/2020,43.3491
11/3/2020,43.6759
11/4/2020,43.6512
11/5/2020,44.4005
11/6/2020,44.5115
11/9/2020,45.6338
11/10/2020,44.3234
11/11/2020,45.3008
11/12/2020,45.7819
11/13/2020,45.9237
11/16/2020,46.4139
11/17/2020,46.4048
11/18/2020,46.2074
11/19/2020,46.084
11/20/2020,46.6113
11/23/2020,46.3646
11/24/2020,46.787
11/25/2020,46.636
11/27/2020,46.9134
11/30/2020,46.7438
12/1/2020,47.3605
12/2/2020,46.8672
12/3/2020,46.3368
12/4/2020,46.0995
12/7/2020,45.7757
12/8/2020,45.4365
12/9/2020,46.2506
12/10/2020,45.7233
12/11/2020,45.4664
12/14/2020,45.7078
12/15/2020,45.0332
12/16/2020,45.2561
12/17/2020,45.2004
12/18/2020,45.3736
12/21/2020,45.027
12/22/2020,44.9186
12/23/2020,44.4205
